lap_time,lap_distance,speed_kmh,track_pos,angle,wheel_spin,gear,rpm,race_pos,fuel,throttle,brake,steer
0.862,3239.64,11.322324,-0.324785,-0.00183469,2.626115,1,942.478,4,94.0,0.4038871765136718,0.0,0.0
0.882,3239.66,12.107844,-0.324734,-0.00183756,1.689885,1,942.478,4,94.0,0.41890764236450184,0.0,0.0
0.902,3239.68,12.482460000000001,-0.324694,-0.00193102,2.3014125,1,942.478,4,94.0,0.4226276397705077,0.0,0.0
0.922,3239.7,12.971052,-0.324649,-0.00197536,2.42037475,1,942.478,4,94.0,0.4381116867065429,0.0,0.0
0.942,3239.72,13.489848,-0.3246,-0.00218136,2.6388884999999997,1,942.478,4,94.0,0.4409820556640624,0.0,0.0
0.962,3239.74,13.952412,-0.324554,-0.0024007,3.1867550000000002,1,942.478,4,94.0,0.44421844482421863,0.0,0.0
0.982,3239.76,14.53032,-0.324509,-0.00245983,3.23929,1,942.478,4,94.0,0.4606028556823729,0.0,0.0
1.004,3239.79,14.879159999999999,-0.324459,-0.00240499,4.2550125,1,942.478,4,94.0,0.46402320861816393,0.0,0.0
1.024,3239.81,15.536052000000002,-0.32441,-0.00229627,4.0568075,1,942.478,4,94.0,0.47924118041992175,0.0,0.0
1.044,3239.84,16.076340000000002,-0.324359,-0.00213319,4.2514625,1,942.478,4,94.0,0.48218851089477527,0.0,0.0
1.064,3239.86,16.574939999999998,-0.324317,-0.00216848,4.9761725,1,942.478,4,94.0,0.4850647926330565,0.0,0.0
1.084,3239.89,17.520696,-0.324266,-0.00212604,3.828575,1,942.478,4,94.0,0.4996960639953612,0.0,0.0
1.104,3239.92,18.056988,-0.324211,-0.0020774,4.5277425000000004,1,942.478,4,94.0,0.5030273437499999,0.0,0.0
1.124,3239.94,18.932760000000002,-0.324165,-0.002096,3.6193299999999997,1,942.478,4,94.0,0.5185960769653319,0.0,0.0
1.144,3239.97,19.305468,-0.324114,-0.00213081,4.7880175000000005,1,942.478,4,94.0,0.5215707778930663,0.0,0.0
1.164,3240.0,20.069928,-0.324065,-0.00208503,4.57753,1,942.478,4,94.0,0.5245659828186033,0.0,0.0
1.184,3240.04,20.733876,-0.324014,-0.00209266,4.634,1,942.478,4,94.0,0.5406332969665526,0.0,0.0
1.204,3240.07,21.46104,-0.323956,-0.00214845,4.432785,1,942.478,4,94.0,0.5437840461730956,0.0,0.0
1.224,3240.1,22.19454,-0.323887,-0.00212938,4.7597575,1,942.478,4,94.0,0.5591644287109374,0.0,0.0
1.244,3240.14,22.641012000000003,-0.323823,-0.00220138,6.0433675,1,942.478,4,94.0,0.5622076034545898,0.0,0.0
