lap_time,lap_distance,speed_kmh,track_pos,angle,wheel_spin,gear,rpm,race_pos,fuel,throttle,brake,steer
0.018,0.0,0.0030632616,0.333007,0.00469607,-0.0015207499999999596,0,5235.99,1,100.0,0.016412830352783205,0.0,0.0
0.038,0.0,0.0026182764000000002,0.33302,0.00471562,-0.0008024999999999838,1,5235.99,1,100.0,0.02771682739257813,0.0,0.0
0.058,0.0,0.0027859104,0.333016,0.00489777,-0.004375500000000004,1,5238.36,1,100.0,0.038746452331542974,0.0,0.0
0.078,0.0,0.0020595780000000003,0.333001,0.00487727,0.0790015,1,5235.99,1,100.0,0.038776874542236335,0.0,0.0
0.098,0.0,0.010526508,0.332977,0.00504273,0.29646324999999996,1,5235.99,1,100.0,0.05044755935668946,0.0,0.0
0.118,0.0,0.16040232,0.332947,0.00500267,0.28205775,1,5235.99,1,100.0,0.057829570770263676,0.0,0.0
0.138,0.0,0.34065216000000004,0.33292,0.00516861,0.27492225000000003,1,5235.99,1,100.0,0.06541118621826172,0.0,0.0
0.158,0.0,0.5300316,0.332889,0.00525349,0.31079245000000005,1,5235.99,1,100.0,0.07548999786376953,0.0,0.0
0.178,0.0,0.7318476,0.332858,0.00557583,0.37867485,1,5235.99,1,100.0,0.0854400634765625,0.0,0.0
0.198,0.0,0.9604980000000001,0.332838,0.00555723,0.46810397499999995,1,5235.99,1,100.0,0.08546123504638671,0.0,0.0
0.218,0.0,1.2259728,0.332828,0.00571984,0.5546662499999999,1,5235.99,1,100.0,0.09519405364990234,0.0,0.0
0.238,0.0,1.4976864,0.332822,0.00560826,0.632157,1,5235.99,1,100.0,0.10282363891601562,0.0,0.0
0.26,0.0,1.9192464000000002,0.332791,0.00560969,0.4348839,1,5235.99,1,100.0,0.10980119705200195,0.0,0.0
0.28,0.0,2.4082812,0.332807,0.00568407,0.18314,1,5235.99,1,100.0,0.11770839691162109,0.0,0.0
0.3,0.0,2.6831196,0.332808,0.00569647,0.372468,1,5235.99,1,100.0,0.13152360916137695,0.0,0.0
0.32,0.0,3.1570632,0.332778,0.00560444,0.28002974999999997,1,5235.99,1,100.0,0.13896608352661133,0.0,0.0
0.34,0.0,3.0881591999999998,0.332784,0.00562828,1.1423895,1,5235.99,1,100.0,0.14623003005981444,0.0,0.0
0.36,0.0,3.6044639999999997,0.332762,0.00556629,1.15444975,1,5235.99,1,100.0,0.1563068389892578,0.0,0.0
0.38,0.0,4.094064,0.332766,0.00563925,1.24554875,1,5235.99,1,100.0,0.16478118896484373,0.0,0.0
0.4,0.0,4.607496,0.33275,0.00558394,1.36077875,1,5235.99,1,99.9999,0.17215290069580075,0.0,0.0
0.42,0.0,5.1284160000000005,0.332751,0.00561922,1.5207525,1,5235.99,1,99.9998,0.17919244766235348,0.0,0.0
0.44,0.0,5.677020000000001,0.332736,0.00560063,1.680625,1,5235.99,1,99.9998,0.18682003021240232,0.0,0.0
0.46,0.0,6.2377199999999995,0.332731,0.00560492,1.8626825,1,5235.99,1,99.9997,0.1940796852111816,0.0,0.0
0.48,0.0,6.822684,0.332716,0.00560921,2.0555875,1,5235.99,1,99.9996,0.20140724182128902,0.0,0.0
0.502,0.0,7.431408,0.332706,0.00557249,2.5323875,1,5235.99,1,99.9995,0.20718526840209958,0.0,0.0
0.522,0.0,8.078184,0.332691,0.00563973,2.7084824999999997,1,5235.99,1,99.9995,0.21475362777709958,0.0,0.0
0.542,0.0,8.74872,0.332679,0.00557011,2.8891525,1,5235.99,1,99.9994,0.22499170303344723,0.0,0.0
0.562,0.0,9.45144,0.332661,0.00564068,3.0608425,1,5235.99,1,99.9993,0.2323808670043945,0.0,0.0
0.582,0.0,10.183536,0.332647,0.00557011,3.253955,1,5235.99,1,99.9992,0.24199638366699217,0.0,0.0
0.602,0.0,10.945079999999999,0.332627,0.0056383,3.4363075,1,5235.99,1,99.9992,0.2477084159851074,0.0,0.0
0.622,0.0,11.759544,0.33261,0.00556916,3.6051399999999996,1,5235.99,1,99.9991,0.25531005859375,0.0,0.0
0.642,0.0,12.550968000000001,0.332577,0.00558966,3.7559649999999998,1,5235.99,1,99.999,0.26268434524536133,0.0,0.0
0.662,0.0,13.407048,0.332568,0.00561922,3.97676,1,5235.99,1,99.9989,0.2794440269470215,0.0,0.0
0.682,0.0,14.262876,0.332534,0.00553578,4.26423,1,5235.99,1,99.9988,0.28477163314819337,0.0,0.0
