lap_time,lap_distance,speed_kmh,track_pos,angle,wheel_spin,gear,rpm,race_pos,fuel,throttle,brake,steer
0.018,0.0,0.0030632616,0.333007,0.00469607,-0.0015207499999999596,0,5235.99,1,100.0,0.0,0.0,0.0
0.038,0.0,0.0026182764000000002,0.33302,0.00471562,-0.0008024999999999838,1,5235.99,1,100.0,0.0,0.0,0.0
0.058,0.0,0.0027859104,0.333016,0.00489777,-0.004375500000000004,1,5235.99,1,100.0,0.0,0.0,0.0
0.078,0.0,0.0017467992000000001,0.333001,0.00487727,-0.0021027499999999866,1,5235.99,1,100.0,0.0,0.0,0.0
0.098,0.0,0.0019015344,0.332977,0.00504177,-0.005700499999999997,1,5235.99,1,100.0,0.0,0.0,0.0
0.118,0.0,0.0008527716000000001,0.332948,0.00500935,-0.0033045000000000158,1,5235.99,1,100.0,0.0,0.0,0.0
0.138,0.0,0.0006976008,0.332915,0.00516384,-0.0061942499999999845,1,5235.99,1,100.0,0.0,0.0,0.0
0.158,0.0,-0.00022843440000000002,0.332881,0.00512379,-0.004003249999999986,1,5235.99,1,100.0,0.0,0.0,0.0
0.178,0.0,-0.0005386608000000001,0.332845,0.00527209,-0.00649074999999999,1,5235.99,1,100.0,0.0,0.0,0.0
0.198,0.0,-0.0014422536,0.332809,0.00522631,-0.004343499999999972,1,5235.99,1,100.0,0.0,0.0,0.0
0.218,0.0,-0.0019769544,0.332773,0.00537031,-0.006373500000000004,1,5235.99,1,100.0,0.0,0.0,0.0
0.238,0.0,-0.00308682,0.332738,0.00532072,-0.003799500000000011,1,5235.99,1,100.0,0.0,0.0,0.0
0.26,0.0,-0.004053456,0.332699,0.00541609,-0.003832000000000002,1,5235.99,1,100.0,0.0,0.0,0.0
0.28,0.0,-0.004717188,0.332665,0.00546187,-0.00440699999999998,1,5235.99,1,100.0,0.0,0.0,0.0
0.3,0.0,-0.005873580000000001,0.332633,0.00550001,-0.0026737500000000025,1,5235.99,1,100.0,0.009263229370117188,0.0,0.0
0.32,0.0,-0.006498504,0.332601,0.00554245,-0.003195500000000004,1,5235.99,1,100.0,0.01459484100341797,0.0,0.0
0.34,0.0,-0.007202808000000001,0.33257,0.00557822,0.05136424999999997,1,5235.99,1,100.0,0.02401723861694336,0.0,0.0
0.36,0.0,-0.005496084,0.332541,0.00561827,0.1369535,1,5235.99,1,100.0,0.03356723785400391,0.0,0.0
0.38,0.0,0.0022812876,0.332513,0.00564974,0.26779749999999997,1,5235.99,1,100.0,0.03912811279296875,0.0,0.0
0.4,0.0,0.10534608,0.332486,0.0056917,0.303135625,1,5235.99,1,100.0,0.04627199172973633,0.0,0.0
0.42,0.0,0.24000840000000004,0.332462,0.00572127,0.30524680000000004,1,5235.99,1,100.0,0.05429325103759766,0.0,0.0
0.44,0.0,0.40840920000000003,0.332445,0.00580281,0.2938775,1,5235.99,1,100.0,0.06189804077148438,0.0,0.0
0.46,0.0,0.5882868,0.33242,0.005984,0.323826025,1,5235.99,1,100.0,0.0692300796508789,0.0,0.0
0.48,0.0,0.7760736,0.332398,0.0061261,0.397431425,1,5235.99,1,100.0,0.0793299674987793,0.0,0.0
0.502,0.0,1.0100844000000002,0.332386,0.00611609,0.48392362499999997,1,5235.99,1,100.0,0.0904388427734375,0.0,0.0
0.522,0.0,1.2604104,0.33238,0.0062558,0.5548919999999999,1,5235.99,1,100.0,0.09836969375610352,0.0,0.0
0.542,0.0,1.5422832000000002,0.332376,0.00613898,0.646505,1,5235.99,1,100.0,0.10564565658569336,0.0,0.0
0.562,0.0,1.6380396,0.332347,0.00616043,0.8942154999999999,1,5235.99,1,100.0,0.11305170059204102,0.0,0.0
0.582,0.0,2.0103912,0.332369,0.00625914,0.9331885,1,5235.99,1,100.0,0.12303733825683594,0.0,0.0
0.602,0.0,2.6209656,0.332336,0.00616091,0.679853,1,5235.99,1,100.0,0.1277216911315918,0.0,0.0
0.622,0.0,3.0430476,0.332324,0.00609749,0.7409097,1,5235.99,1,100.0,0.1350900650024414,0.0,0.0
0.642,0.0,3.4775352,0.332325,0.00621718,0.8141525000000001,1,5235.99,1,100.0,0.14241399765014648,0.0,0.0
0.662,0.0,4.11318,0.332292,0.00603073,0.573546,1,5235.99,1,100.0,0.14987077713012695,0.0,0.0
0.682,0.0,4.5679680000000005,0.332303,0.00615185,0.69901075,1,5235.99,1,100.0,0.16373805999755858,0.0,0.0
0.702,0.0,5.053896000000001,0.332282,0.00605601,0.821309,1,5235.99,1,100.0,0.17103080749511718,0.0,0.0
0.722,0.0,5.580432,0.332285,0.00614136,0.96531725,1,5235.99,1,99.9999,0.1781229019165039,0.0,0.0
0.742,0.0,6.121044,0.332266,0.00606554,1.1357234999999999,1,5235.99,1,99.9998,0.18571891784667968,0.0,0.0
0.762,0.0,6.68358,0.33226,0.00612562,1.307709,1,5235.99,1,99.9998,0.19554996490478516,0.0,0.0
0.782,0.0,7.259580000000001,0.332246,0.00607842,1.5110375,1,5235.99,1,99.9997,0.2008580207824707,0.0,0.0
0.802,0.0,7.865748,0.332232,0.00610846,1.7209025,1,5235.99,1,99.9996,0.2084853172302246,0.0,0.0
0.822,0.0,8.503020000000001,0.332222,0.00609272,1.9165275,1,5235.99,1,99.9995,0.21732645034790038,0.0,0.0
0.842,0.0,9.176364,0.332202,0.00610131,2.0911025,1,5235.99,1,99.9995,0.2254336357116699,0.0,0.0
0.862,0.0,9.875628,0.332191,0.00609654,2.2835825,1,5235.99,1,99.9994,0.23288440704345703,0.0,0.0
0.882,0.0,10.609956,0.332166,0.00610035,2.460335,1,5235.99,1,99.9993,0.24035329818725587,0.0,0.0
0.902,0.0,11.36448,0.332154,0.00609749,2.6583875,1,5235.99,1,99.9992,0.25035009384155277,0.0,0.0
0.922,0.0,12.115727999999999,0.332125,0.00610178,2.8640725,1,5235.99,1,99.9992,0.2584447860717774,0.0,0.0
0.942,0.0,12.835512,0.332095,0.00608891,3.3755675,1,5235.99,1,99.9991,0.26350517272949225,0.0,0.0
0.962,0.0,13.914864,0.332076,0.00608795,2.9817774999999997,1,5235.99,1,99.999,0.2705604553222657,0.0,0.0
0.982,0.0,14.58918,0.33205,0.00608986,3.5651275,1,5235.99,1,99.9989,0.28013639450073247,0.0,0.0
1.004,0.0,15.423156,0.33202,0.00610369,4.111315,1,5235.99,1,99.9988,0.2940228462219239,0.0,0.0
1.024,0.0,16.431732,0.331992,0.00609225,4.1684775,1,5235.99,1,99.9988,0.30144042968750007,0.0,0.0
1.044,0.0,17.5347,0.331971,0.00613421,4.0387825,1,5235.99,1,99.9987,0.3138788223266602,0.0,0.0
1.064,0.0,18.330084,0.331941,0.00614565,4.5625475,1,5235.99,1,99.9986,0.31645040512084965,0.0,0.0
1.084,0.0,19.242072,0.331904,0.00613993,5.108867500000001,1,5235.99,1,99.9985,0.3240264892578125,0.0,0.0
1.104,0.0,20.299176,0.331866,0.00613278,5.3652825,1,5235.99,1,99.9985,0.33112440109252933,0.0,0.0
1.124,0.0,21.346308,0.331827,0.00612992,5.645405,1,5235.99,1,99.9984,0.33907766342163087,0.0,0.0
1.144,0.0,22.416156,0.331787,0.00613039,5.93075,1,5235.99,1,99.9983,0.3477688789367676,0.0,0.0
1.164,0.0,23.472072,0.331744,0.00613087,6.282825,1,5235.99,1,99.9982,0.35832805633544923,0.0,0.0
1.184,0.0,24.461603999999998,0.331699,0.00613039,6.832520000000001,1,5235.99,1,99.9982,0.3680935859680176,0.0,0.0
1.204,0.0,25.712244000000002,0.331652,0.00613039,7.0809750000000005,1,5235.99,1,99.9981,0.3746725082397461,0.0,0.0
1.224,0.0,27.136872,0.331602,0.00612944,6.9961325,1,5235.99,1,99.998,0.38186483383178715,0.0,0.0
1.244,0.0,28.54368,0.331551,0.00612896,6.9245149999999995,1,5235.99,1,99.9979,0.3868723869323731,0.0,0.0
1.264,0.0,29.849940000000004,0.331497,0.00612753,7.0453025,1,5235.99,1,99.9979,0.3947020530700684,0.0,0.0
1.284,0.0,31.033511999999998,0.33144,0.0061261,7.4332725,1,5235.99,1,99.9978,0.4026368141174317,0.0,0.0
1.304,0.0,32.10804,0.331381,0.00612419,8.12725,1,5235.99,1,99.9977,0.41381206512451174,0.0,0.0
1.324,0.0,33.251832,0.33132,0.00612229,8.8119175,1,5235.99,1,99.9976,0.41871604919433597,0.0,0.0
1.344,0.0,34.604639999999996,0.331256,0.00612086,9.2494725,1,5235.99,1,99.9976,0.4276172637939453,0.0,0.0
1.364,0.0,36.07668,0.33119,0.00611943,9.456705,1,5235.99,1,99.9975,0.43490285873413087,0.0,0.0
1.384,0.0,37.63440000000001,0.331121,0.006118,9.5087525,1,5235.99,1,99.9974,0.44230127334594727,0.0,0.0
1.404,0.0,39.15036,0.331049,0.00611609,9.635539999999999,1,5235.99,1,99.9973,0.45319404602050783,0.0,0.0
1.424,0.0,40.58496,0.330975,0.00611418,9.944185000000001,1,5235.99,1,99.9972,0.45575637817382814,0.0,0.0
1.444,0.0,41.98608,0.330898,0.0061118,10.42565,1,5235.99,1,99.9972,0.4653301239013672,0.0,0.0
1.464,0.0,43.377120000000005,0.330819,0.00610941,10.98225,1,5235.99,1,99.9971,0.47578086853027346,0.0,0.0
1.484,0.0,44.83764,0.330736,0.00610703,11.495875,1,5235.99,1,99.997,0.4849092483520508,0.0,0.0
1.504,0.0,46.37988,0.330651,0.00610464,11.938225,1,5235.99,1,99.9969,0.49700489044189455,0.0,0.0
1.524,0.0,47.981159999999996,0.330563,0.00610274,12.31625,1,5235.99,1,99.9967,0.49703168869018555,0.0,0.0
1.544,0.0,49.62852,0.330472,0.00610035,12.673475,1,5235.99,1,99.9966,0.5071920394897461,0.0,0.0
1.564,0.0,51.269040000000004,0.330378,0.00609845,13.035175,1,5235.99,1,99.9964,0.5153044700622559,0.0,0.0
1.584,0.0,52.92576,0.330281,0.00609654,13.432825,1,5235.99,1,99.9963,0.5246928215026856,0.0,0.0
1.604,0.0,54.59976,0.33018,0.00609415,13.85625,1,5235.99,1,99.9961,0.5343132972717286,0.0,0.0
1.624,0.0,56.30256,0.330077,0.00609129,14.297175,1,5235.99,1,99.9959,0.5393565177917481,0.0,0.0
1.644,0.0,58.008599999999994,0.32997,0.00608843,14.733975000000001,1,5235.99,1,99.9958,0.5452964782714844,0.0,0.0
1.664,0.0,59.74164,0.329861,0.00608605,15.18165,1,5235.99,1,99.9956,0.5551372528076173,0.0,0.0
1.684,0.0,61.49303999999999,0.329747,0.00608271,15.630425,1,5235.99,1,99.9955,0.5666188240051271,0.0,0.0
1.704,0.0,63.26316,0.329631,0.00607985,16.084400000000002,1,5235.99,1,99.9953,0.5719676017761232,0.0,0.0
1.724,0.0,65.06388,0.329512,0.00607651,16.549174999999998,1,5235.99,1,99.9952,0.5783704757690431,0.0,0.0
1.744,0.0,66.9024,0.329389,0.00607317,17.02545,1,5235.99,1,99.995,0.5904911994934083,0.0,0.0
1.764,0.0,68.76,0.329263,0.00606983,17.501325,1,5235.99,1,99.9949,0.5958532333374025,0.0,0.0
1.784,0.0,70.63596,0.329134,0.00606602,17.983024999999998,1,5235.99,1,99.9947,0.6040712356567384,0.0,0.0
1.804,0.0,72.54756,0.329001,0.00606221,18.479525,1,5235.99,1,99.9946,0.6144200325012208,0.0,0.0
1.824,0.0,74.48112,0.328864,0.00605839,18.976625,1,5235.99,1,99.9944,0.6227021217346193,0.0,0.0
1.844,0.0,76.4388,0.328724,0.0060541,19.482325,1,5235.99,1,99.9943,0.6278348922729493,0.0,0.0
